EventCode,EventType,OpCode,RecordNumber,"_time","anonymized_ComputerName",source,sourcetype,user
4624,0,Info,2490159041,"1471977014.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,551543164,"1471977056.000","anon_ComputerName_15","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,551543478,"1471977080.000","anon_ComputerName_15","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490164179,"1471977281.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,71722248,"1471978457.000","anon_ComputerName_5","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2490197358,"1471978725.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490201664,"1471978883.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,142871373,"1471978902.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,142873314,"1471979074.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1004364044,"1471979123.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1004365169,"1471979285.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142884328,"1471980135.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,241562151,"1471981451.000","anon_ComputerName_19","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1004393713,"1471982670.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142912272,"1471982891.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,142915164,"1471983159.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2490291073,"1471983318.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2490293293,"1471983413.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2490293287,"1471983413.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490293925,"1471983440.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490294699,"1471983474.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2490301798,"1471983756.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490305695,"1471983920.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490311314,"1471984188.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490316484,"1471984395.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
