vendor_action_id,vendor_action_description,action,object_category,object,change_type,object_attrs,status
10052,REGISTER_PRINCIPAL,created,user,,AAA,,
10284,REMOVE_SECURITY_QUESTION_ANSWERS,modified,policy,,AAA,,
26187,OC_CERT_IMPORT,created,file,Certificate,filesystem,,
10206,EXPORT_PWD_DICTIONARY,read,file,,filesystem,,
10207,DELETE_PWD_DICTIONARY,deleted,file,,AAA,,
20213,AM_APS_CLIENT_RESPONSE_DELAY,modified,policy,,AAA,,
20290,AM_OFFLINE_AUTH_DISABLE_PORT_ENABLED,modified,policy,,AAA,,
20291,AM_OFFLINE_AUTH_DISABLE_PORT_DISABLED,modified,policy,,AAA,,
20209,AM_OFFLINE_AUTH_PORT_NUMBER,modified,policy,,AAA,,
20212,AM_APS_PORT_NUMBER,modified,policy,,AAA,,
20196,AM_APS_AUTO_REG_PORT_NUMBER,modified,policy,,AAA,,
20262,AUTHMGR_AGENT_CONFIG_UPDATE,modified,policy,,AAA,,
10205,IMPORT_PWD_DICTIONARY,modified,policy,,filesystem,,
16231,SMTP_CONNECT,read,server,SMTP server,AAA,,
23027,AM_FIXED_PCODE_VALID,modified,user,,AAA,LDAP_Password,
26069,TCP_SERVER_SHUTDOWN,stopped,server,TCP server,AAA,,success
26068,TCP_SERVER_STARTUP,started,server,TCP server,AAA,,success
26071,UDP_SERVER_SHUTDOWN,stopped,server,UDP server,AAA,,success
26070,UDP_SERVER_STARTUP,started,server,UDP server,AAA,,success
16148,SESSION_READ_LIFETIME_CONFIGURATION,read,,,filesystem,,
16151,SESSION_SEARCH_LIFETIME_CONFIGURATION,modified,,,filesystem,,
26250,IDENTITY_ROUTER_CHECK_FREE_DISK_SPACE_TASK_START,started,,,AAA,,
26251,IDENTITY_ROUTER_CHECK_FREE_DISK_SPACE_TASK_SUCCESS,modified,,,AAA,,
26253,IDENTITY_ROUTER_CHECKSUM_TASK_STARTED,started,,,AAA,,
26258,IDENTITY_ROUTER_DOWNLOAD_IMAGE_TASK_SUCCESS,read,,,filesystem,,
26264,IDENTITY_ROUTER_INSTALL_IMAGE_TASK_SUCCESS,modified,,,filesystem,,
26186,OC_DOWNLOAD_SUPPORT_FILES,read,,,filesystem,,
30035,UCM_WORKITEM_COMPLETE,modified,,,filesystem,,
20293,ENABLE_IDENTITY_ROUTER_STARTED,started,,,AAA,,
20295,ENABLE_IDENTITY_ROUTER_CAS_CONNECTION_SUCCESS,modified,,,AAA,,
20017,AUTHMGR_AGENT_DELETE,deleted,,,AAA,,
23027,AM_FIXED_PCODE_INVALID_INVALID_LENGTH,modified,,,AAA,,
16037,SCHEDULE_BATCH_JOB,created,,,AAA,,
16038,DELETE_SCHEDULE_JOB,deleted,,,AAA,,
16291,START_SERVICE,started,service,old service,AAA,started,
16290,STOP_SERVICE,stopped,service,old service,AAA,stopped,
26255,IDENTITY_ROUTER_CHECKSUM_TASK_SUCCESS,modified,,,AAA,,
