vendor_action_id,vendor_action_description,event_type
30035,UCM_WORKITEM_COMPLETE,all_changes_event
20293,ENABLE_IDENTITY_ROUTER_STARTED,all_changes_event
20295,ENABLE_IDENTITY_ROUTER_CAS_CONNECTION_SUCCESS,all_changes_event
20017,AUTHMGR_AGENT_DELETE,all_changes_event
23027,AM_FIXED_PCODE_INVALID_INVALID_LENGTH,all_changes_event
16042,EXECUTE_COMMAND,alerts_event
16294,IDENTITY_SOURCE_GET_CONNECTION_FAILED,alerts_event
20113,TRUSTED_USER_GROUP_READ,alerts_event
16160,CONN_POOL_RESTORE,alerts_event
16037,SCHEDULE_BATCH_JOB,all_changes_event
16038,DELETE_SCHEDULE_JOB,all_changes_event
26255,IDENTITY_ROUTER_CHECKSUM_TASK_SUCCESS,all_changes_event
16042,EXECUTE_COMMAND,alerts_event
16294,IDENTITY_SOURCE_GET_CONNECTION_FAILED,alerts_event
16159,CONN_POOL_FAILOVER,alerts_event
